group,x,y
Dissolution-controlled,8,87.0395376791715
Dissolution-controlled,8,82.6101874882743
Dissolution-controlled,9,90.9399405517866
Dissolution-controlled,9,94.4803310589537
Dissolution-controlled,9,88.5513012471353
Dissolution-controlled,9,92.9367098124224
Dissolution-controlled,9,89.4862623201761
Dissolution-controlled,10,94.7030945031601
Dissolution-controlled,10,99.6968199479875
Dissolution-controlled,10,94.0554704663356
Dissolution-controlled,10,98.6272876465157
Dissolution-controlled,10,95.6136817057452
Dissolution-controlled,11,95.231320904147
Dissolution-controlled,11,102.689725263568
Dissolution-controlled,11,96.5471666148006
Dissolution-controlled,11,101.796989346387
Dissolution-controlled,11,101.429664819802
Dissolution-controlled,12,95.344058637353
Dissolution-controlled,12,103.06559780951
Dissolution-controlled,12,96.5471666148006
Dissolution-controlled,12,101.883121798462
Dissolution-controlled,12,102.486289268751
Dissolution-controlled,13,95.4278566905674
Dissolution-controlled,13,103.11043199939
Dissolution-controlled,13,96.6470994836687
Dissolution-controlled,13,101.986487606831
Dissolution-controlled,13,102.486289268751
Dissolution-controlled,14,95.5034843477699
Dissolution-controlled,14,103.313765006022
Dissolution-controlled,14,96.7539668903284
Dissolution-controlled,14,102.122534999247
Dissolution-controlled,14,102.648083707424
